"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E520","2019-07-28 00:00:00","320.000","0.000","0.000","22.400","1.000","972.200","-99.000","31.500","-99.000","-99.000","-99.000","35.700","","21.800",""
"C0C460","2019-07-28 00:00:00","482.000","0.000","0.000","22.900","0.910","955.400","-99.000","5.000","-99.000","-99.000","-99.000","28.700","","22.500",""
"C0O930","2019-07-28 00:00:00","69.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0T870","2019-07-28 00:00:00","135.000","0.000","0.000","24.600","0.960","994.600","-99.000","0.500","-99.000","-99.000","-99.000","32.200","","23.200",""
"C0A920","2019-07-28 00:00:00","196.000","99.000","0.400","26.200","0.970","985.200","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","26.200",""
"C0A940","2019-07-28 00:00:00","49.000","0.000","0.000","26.600","0.930","1002.900","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","25.500",""
"C0S740","2019-07-28 00:00:00","289.000","272.000","0.700","23.200","0.960","978.400","-99.000","60.000","-99.000","-99.000","-99.000","33.100","","23.000",""
"C0U980","2019-07-28 00:00:00","573.000","129.000","1.400","23.500","1.000","946.400","-99.000","0.000","-99.000","-99.000","-99.000","29.800","","22.300",""
"C0V250","2019-07-28 00:00:00","298.000","83.000","0.800","22.300","0.990","975.600","-99.000","8.500","-99.000","-99.000","-99.000","31.500","","22.000",""
"C0AH70","2019-07-28 00:00:00","34.000","46.000","0.400","28.600","0.730","1004.300","-99.000","11.000","-99.000","-99.000","-99.000","35.400","","27.100",""
"C0M760","2019-07-28 00:00:00","40.000","163.000","0.800","25.700","0.990","1003.200","-99.000","1.500","-99.000","-99.000","-99.000","33.100","","25.600",""
"C0O950","2019-07-28 00:00:00","4.000","0.000","0.000","27.500","0.900","1006.400","-99.000","0.500","-99.000","-99.000","-99.000","31.600","","26.700",""
"C0F9A0","2019-07-28 00:00:00","425.000","132.000","1.700","23.400","0.920","959.400","-99.000","90.500","-99.000","-99.000","-99.000","32.200","","22.200",""
"C0A9F0","2019-07-28 00:00:00","35.000","80.000","0.300","27.600","0.990","1004.300","-99.000","6.500","-99.000","-99.000","-99.000","35.600","","27.200",""
"C0I460","2019-07-28 00:00:00","110.000","170.000","1.700","25.800","0.950","995.000","-99.000","3.500","-99.000","-99.000","-99.000","33.900","","25.100",""
"C0W160","2019-07-28 00:00:00","49.000","271.000","2.000","26.900","0.910","998.600","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","26.300",""
"C0E420","2019-07-28 00:00:00","19.000","121.000","0.300","24.600","0.900","1003.200","-99.000","14.000","-99.000","-99.000","-99.000","33.600","","24.500",""
"C0R190","2019-07-28 00:00:00","32.000","0.000","0.000","25.600","0.990","1003.900","-99.000","103.000","-99.000","-99.000","-99.000","31.300","","23.700",""
"C0I010","2019-07-28 00:00:00","1562.000","82.000","0.700","17.200","0.930","846.600","-99.000","0.500","-99.000","-99.000","-99.000","26.000","","16.800",""
"C0F930","2019-07-28 00:00:00","100.000","110.000","1.100","25.000","1.000","995.400","-99.000","7.500","-99.000","-99.000","-99.000","34.200","","24.800",""
"C0X180","2019-07-28 00:00:00","62.000","0.000","0.000","25.500","0.960","1000.400","-99.000","0.500","-99.000","-99.000","-99.000","33.000","","25.400",""
"C0ACA0","2019-07-28 00:00:00","25.000","71.000","0.700","28.300","0.790","1003.900","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","27.200",""
"C0X260","2019-07-28 00:00:00","39.000","164.000","0.300","26.000","0.940","1003.700","-99.000","4.500","-99.000","-99.000","-99.000","33.300","","25.600",""
"C0K500","2019-07-28 00:00:00","12.000","237.000","0.800","26.800","0.890","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","26.500",""
"CM0010","2019-07-28 00:00:00","68.000","0.000","0.200","27.000","-99.000","1000.600","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","25.500",""
"C0O990","2019-07-28 00:00:00","18.000","0.000","0.200","25.700","0.990","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","25.600",""
"C0E430","2019-07-28 00:00:00","258.000","191.000","1.300","22.700","0.960","982.200","-99.000","12.000","-99.000","-99.000","-99.000","32.900","","22.700",""
"C0D390","2019-07-28 00:00:00","146.000","0.000","0.000","23.200","0.980","989.800","-99.000","55.000","-99.000","-99.000","-99.000","34.900","","23.100",""
"C0T9F0","2019-07-28 00:00:00","251.000","65.000","0.300","24.100","0.970","981.900","-99.000","11.500","-99.000","-99.000","-99.000","32.400","","24.100",""
"C0R350","2019-07-28 00:00:00","35.000","39.000","1.500","25.900","-99.000","1003.800","-99.000","0.500","-99.000","-99.000","-99.000","31.100","","25.000",""
"C0K550","2019-07-28 00:00:00","15.000","179.000","0.500","26.600","0.910","1005.900","-99.000","3.000","-99.000","-99.000","-99.000","32.900","","26.300",""
"C0C670","2019-07-28 00:00:00","250.000","188.000","0.400","24.800","0.870","980.000","-99.000","32.000","-99.000","-99.000","-99.000","33.200","","23.700",""
"C0A980","2019-07-28 00:00:00","11.000","0.000","0.100","27.800","0.820","1006.900","-99.000","6.500","-99.000","-99.000","-99.000","34.700","","27.000",""
"C0UA60","2019-07-28 00:00:00","566.000","194.000","0.900","22.900","0.990","946.400","-99.000","26.500","-99.000","-99.000","-99.000","29.500","","22.200",""
"C0V720","2019-07-28 00:00:00","15.000","0.000","0.100","28.500","0.870","1006.300","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","26.500",""
"C0C480","2019-07-28 00:00:00","105.000","0.000","0.000","27.200","0.790","995.700","-99.000","0.000","-99.000","-99.000","-99.000","36.000","","27.000",""
"C0S900","2019-07-28 00:00:00","27.000","100.000","1.700","27.200","0.860","1007.000","-99.000","3.500","-99.000","-99.000","-99.000","30.300","","26.900",""
"C0SA00","2019-07-28 00:00:00","466.000","253.000","0.800","21.700","1.000","957.900","-99.000","27.000","-99.000","-99.000","-99.000","30.300","","21.700",""
"C0V730","2019-07-28 00:00:00","33.000","135.000","0.900","27.400","0.950","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","26.600",""
"C0G730","2019-07-28 00:00:00","27.000","187.000","1.500","26.400","0.950","1004.700","-99.000","4.000","-99.000","-99.000","-99.000","33.500","","25.800",""
"C0Z300","2019-07-28 00:00:00","182.000","197.000","0.700","24.400","0.990","990.500","-99.000","0.500","-99.000","-99.000","-99.000","33.600","","24.300",""
"C0H9A0","2019-07-28 00:00:00","1595.000","293.000","1.200","16.500","0.990","844.300","-99.000","3.000","-99.000","-99.000","-99.000","26.000","","15.900",""
"C0S840","2019-07-28 00:00:00","22.000","40.000","2.800","27.800","0.870","1007.900","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.700",""
"C0Z150","2019-07-28 00:00:00","27.000","0.000","0.000","26.500","0.930","1007.400","-99.000","1.500","-99.000","-99.000","-99.000","30.800","","25.400",""
"C0W170","2019-07-28 00:00:00","42.000","167.000","2.000","27.500","0.920","1001.400","-99.000","0.000","-99.000","-99.000","-99.000","30.200","","26.700",""
"C0D660","2019-07-28 00:00:00","65.000","128.000","1.500","25.500","0.860","999.900","-99.000","12.000","-99.000","-99.000","-99.000","33.100","","24.800",""
"C0U650","2019-07-28 00:00:00","442.000","0.000","0.100","24.300","0.960","960.200","-99.000","8.000","-99.000","-99.000","-99.000","31.900","","24.000",""
"C0G810","2019-07-28 00:00:00","26.000","161.000","0.600","27.200","0.900","1003.100","-99.000","5.500","-99.000","-99.000","-99.000","34.800","","26.700",""
"C0F9Z0","2019-07-28 00:00:00","3193.000","335.000","1.000","11.600","0.720","697.100","-99.000","0.000","-99.000","-99.000","-99.000","16.500","","9.300",""
